ts	phase	decision	why	evidence	result
2026-07-16T05:25:03Z	frame	treat the work as a multi-phase TUI parity migration, not a terminal-renderer rewrite	the audited gaps cross model setup, protocol, client session control, semantic activity, and rendering	/Users/rconti/wrk/internal-agents/agents/e0/notepad.md; packages/eve/src/cli/dev/tui/runner.ts; packages/eve/src/cli/dev/tui/terminal-renderer.ts	grounding in progress
2026-07-16T05:25:03Z	frame	preserve the existing untracked fixture and workflow data	those files predate this run and belong to the user	git status --short --branch	untouched
2026-07-16T05:30:43Z	baseline	pin the current focused unit baseline before editing	changes need a treatment comparison on current main	pnpm --filter eve exec vitest run --config vitest.unit.config.ts with eight focused files	8 files and 258 tests passed
2026-07-16T05:30:43Z	model	keep the featured viewport, then sort each catalog tier by released descending	featured entries must remain a leading run; the public catalog exposes released as Unix seconds for all 305 observed entries	live https://ai-gateway.vercel.sh/v1/models response; packages/eve/src/setup/prompter.ts	selected for implementation
2026-07-16T05:30:43Z	model	map Fast mode to gateway.serviceTier priority	Codex models fast mode as a service tier and AI Gateway documents priority as faster processing at increased cost	openai/codex service_tier_resolution.rs and chatwidget/service_tiers.rs; Vercel AI Gateway service tiers docs	selected for implementation
2026-07-16T05:30:43Z	tooling	keep tool calls independently keyed and derive semantic presentation before coalescing	calls can finish out of order and finalized blocks cannot be retroactively grouped	packages/eve/src/protocol/message.ts; packages/eve/src/cli/dev/tui/runner.ts; packages/eve/src/cli/dev/tui/terminal-renderer.ts	design arena in progress
2026-07-16T05:30:43Z	diagnostics	do not persist the renderer stderr buffer directly	it misses boot failures and contains unredacted arbitrary output without stable correlation	packages/eve/src/internal/logging.ts; packages/eve/src/cli/dev/tui/terminal-renderer.ts; packages/eve/src/cli/run.ts	design arena in progress
2026-07-16T05:30:43Z	design	use candidate A as the base and graft catalog validation, custom-tier state, and serialized diagnostics	it preserves atomic model changes, exhaustive tool lifecycle, and parent-owned diagnostic lifecycle while respecting current picker constraints	three independent design candidates plus design judge	consolidated in .audit/tui-parity-design.md
2026-07-16T05:30:43Z	scope	initially defer coalescing, full Markdown, composer steering, attachments, and remaining session controls	those require additional adapter/runtime or width-aware rendering contracts and are not prerequisites for the first safe tranche	tool trace; design judge	coalescing and Markdown later unblocked in this run; conversation controls remain deferred
2026-07-16T06:01:30Z	tooling	coalesce adjacent same-status semantic calls in the display layer only	parallel calls remain keyed by call id; holding a cohort live until every call settles preserves out-of-order lifecycle updates	tool-block-groups.test.ts; terminal-renderer.test.ts	implemented for web_fetch cohorts
2026-07-16T06:01:30Z	markdown	vendor marked and render parsed GFM tokens within terminal width	the existing regex line renderer could not represent fenced blocks, nested lists, links, tasks, or width-bounded tables without accumulating ambiguous parsing branches	markdown.test.ts; build:compiled; eve typecheck	implemented
2026-07-16T06:18:04Z	verification	prove the tranche at module, package, and TUI-artifact boundaries	unit behavior alone cannot prove vendored runtime availability or atomic filesystem behavior	4867 unit tests passed; 480 integration tests passed; typecheck; guard:invariants; packed-install TUI /model smoke	passed; full server-backed TUI suite separately obstructed by an existing inbound listener on port 3000 and the alternate-port run ended in an environment fetch failure
